stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699723132177,23041,Hubert Curien,43.557855,1.427017,0,1970324839578894,1
3377699723135370,36020,"Jeanne d'Arc",43.608352,1.446127,0,1970324837184932,1
3377699723135387,23051,Oncopole Courrière,43.554217,1.432384,0,1970324839361574,1
3377699723135389,29020,Painlevé,43.522629,1.322248,0,1970324839582108,1
3377699723135390,29021,Painlevé,43.521883,1.321475,0,1970324839582108,1
3377699723135393,29010,Collège Picasso,43.520220,1.320395,0,1970324839582112,1
3377699723135394,29011,Collège Picasso,43.520194,1.320250,0,1970324839582112,1
3377699723135397,29030,F. Mitterrand,43.524360,1.323103,0,1970324839582116,1
3377699723135401,670,Bigorre,43.574816,1.410948,0,1970324837185928,1
3377699723135406,23020,Landes,43.572819,1.416927,0,1970324839582125,1
3377699723135408,23021,Landes,43.573124,1.416157,0,1970324839582125,1
3377699723154117,23030,Courtois de Viçose,43.569747,1.422851,0,1970324839600836,1
3377699723154118,23031,Courtois de Viçose,43.569890,1.422782,0,1970324839600836,1
3377699723190509,23100,Ch. des Martyrs,43.570547,1.419809,0,1970324839637228,1
3377699723198514,36010,Jean Jaurès,43.606610,1.449713,0,1970324837184810,1
3377699723198517,36030,Compans-Caffarelli,43.610690,1.435500,0,1970324837184671,1
3377699723198518,36031,Compans-Caffarelli,43.610432,1.435375,0,1970324837184671,1
3377699723203176,36001,Gare routière,43.613183,1.452571,0,1970324840530380,1
3377699723248671,16410,Andromède-Lycée,43.654546,1.375263,0,1970324837343242,2
3377699723269554,1182,Cerisiers,43.642230,1.444421,0,1970324837186171,1
3377699723269570,18431,St-Orens Eglise,43.552372,1.541960,0,1970324837185278,1
3377699723269579,19793,"Cague L'Oule",43.676806,1.322090,0,1970324837189486,2
3377699723287199,21522,Marigny,43.696157,1.478878,0,1970324837184977,1
3377699723287200,21523,Marigny,43.696060,1.479119,0,1970324837184977,1
3377699723290555,18473,St-Orens Lycée,43.541389,1.547794,0,1970324837185279,1
3377699723367809,17750,Ginestière,43.628427,1.541378,0,1970324837186729,1
3377699723367811,25831,Centre Village,43.457508,1.521231,0,1970324837190372,1
3377699723420933,1742,Crabe,43.610491,1.372002,0,1970324837186535,1
3377699723420934,1743,Crabe,43.610484,1.372221,0,1970324837186535,1
3377699723420937,2567,Compans-Caffarelli,43.609382,1.434833,0,1970324837184671,1
3377699723426161,7510,St-Pierre,43.583733,1.336805,0,1970324839872880,1
3377699723426162,7511,St-Pierre,43.583630,1.336324,0,1970324839872880,1
3377699723426164,7350,Passerelle Airbus,43.609212,1.366783,0,1970324839872883,1
3377699723426165,7351,Passerelle Airbus,43.609105,1.367213,0,1970324839872883,1
3377699723426167,7390,Aneto,43.609259,1.362765,0,1970324839872886,2
3377699723426168,7391,Aneto,43.609147,1.363234,0,1970324839872886,2
3377699723426170,7400,A320,43.609427,1.357722,0,1970324839872889,2
3377699723426171,7401,A320,43.609318,1.358242,0,1970324839872889,2
3377699723426176,7450,Esplanade des Ramassiers,43.598781,1.352758,0,1970324839872895,2
3377699723426177,7451,Esplanade des Ramassiers,43.598935,1.353255,0,1970324839872895,2
3377699723426179,7460,Maillol,43.596535,1.349398,0,1970324839872898,2
3377699723426180,7461,Maillol,43.596738,1.349913,0,1970324839872898,1
3377699723426182,7470,Gabriel Fauré,43.593765,1.347487,0,1970324839872901,1
3377699723426183,7471,Gabriel Fauré,43.594198,1.347800,0,1970324839872901,1
3377699723426185,7480,Vercors,43.589779,1.346923,0,1970324839872904,1
3377699723426186,7481,Vercors,43.590545,1.347126,0,1970324839872904,1
3377699723426188,7490,Clément Ader,43.587273,1.346749,0,1970324839872907,1
3377699723426189,7491,Clément Ader,43.587642,1.346976,0,1970324839872907,1
3377699723426194,7520,Périgord,43.582126,1.332760,0,1970324839872913,1
3377699723426195,7521,Périgord,43.582472,1.333613,0,1970324839872913,1
3377699723426197,7530,Alpilles,43.580269,1.328617,0,1970324839872916,1
3377699723426198,7531,Alpilles,43.580611,1.329589,0,1970324839872916,1
3377699723426203,24380,Lilas,43.510773,1.555226,0,1970324839872922,2
